PEZ,21.3899993896484,21.4899997711182,20.3993835449219,21.3899993896484,21.5100002288818,13100,2010-08-09
PEZ,31.5300006866455,31.6000003814697,30.7521705627441,31.5300006866455,31.6800003051758,900,2013-03-01
PEZ,48.5699996948242,48.3300018310547,48.1995277404785,48.0699996948242,48.5699996948242,8900,2017-11-02
PEZ,38.2099990844727,38.3199996948242,37.409725189209,38.2099990844727,38.439998626709,1700,2013-08-16
PEZ,17.75,17.8400001525879,16.8944110870361,17.75,17.8799991607666,5000,2009-07-17
PEZ,41.4199981689453,41.2799987792969,40.4176063537598,41.2799987792969,41.7799987792969,4300,2014-08-05
PEZ,19.6599998474121,19.5400009155273,18.2959117889404,19.1499996185303,19.6700000762939,32100,2008-07-07
PEZ,18.9400005340576,19.0300006866455,18.021333694458,18.9400005340576,19.0300006866455,1700,2009-11-19
PEZ,39.8199996948242,39.6399993896484,38.7234153747559,39.4799995422363,39.8199996948242,900,2013-09-23
PEZ,24.7999992370605,24.4200000762939,23.3882369995117,24.4200000762939,24.7999992370605,800,2011-09-01
PEZ,23.8500003814697,24.2299995422363,22.6872997283936,23.8099994659424,24.2299995422363,1108300,2007-12-21
PEZ,22.8899993896484,22.6800003051758,21.2359924316406,22.6800003051758,22.8899993896484,6900,2008-04-04
PEZ,41.8499984741211,41.939998626709,41.3355674743652,41.8400001525879,41.9700012207031,12400,2016-05-27
PEZ,43.2299995422363,43.6800003051758,43.410099029541,43.2299995422363,43.7200012207031,28100,2017-05-18
PEZ,50.1399993896484,50.3800010681152,50.3068962097168,50.1399993896484,50.439998626709,3800,2018-04-16
PEZ,38.4799995422363,38.4799995422363,37.56591796875,38.4700012207031,38.6300010681152,1300,2013-07-31
PEZ,28.75,28.3299999237061,26.4806041717529,28.3299999237061,28.75,13000,2007-07-24
PEZ,19.6900005340576,19.6000003814697,18.5611190795898,19.6000003814697,19.6900005340576,1100,2009-10-20
PEZ,21.5799999237061,21.5900001525879,20.2153930664062,21.5799999237061,21.6200008392334,2400,2008-01-14
PEZ,22.2900009155273,22.2900009155273,20.8708229064941,22.2900009155273,22.4899997711182,11400,2008-05-22
PEZ,45.3499984741211,45.6300010681152,44.9297866821289,45.3499984741211,45.6599998474121,17700,2015-11-20
PEZ,23.3500003814697,23.3299999237061,22.173656463623,23.2999992370605,23.3700008392334,2900,2010-10-18
PEZ,21.2900009155273,22.2999992370605,20.8801898956299,21.1200008392334,22.3799991607666,14500,2008-01-23
PEZ,43.2400016784668,43.439998626709,43.0439491271973,43.2200012207031,43.5200004577637,2800,2016-08-18
PEZ,22.75,22.6599998474121,21.217264175415,22.5300006866455,22.75,3000,2008-05-30
PEZ,22.3899993896484,22.3099994659424,21.1654090881348,22.2600002288818,22.3999996185303,9800,2010-03-31
PEZ,26.0900001525879,26.2099990844727,25.0378570556641,26.0900001525879,26.2199993133545,1500,2011-03-31
PEZ,16.2399997711182,16.2299995422363,15.3514919281006,16.1800003051758,16.2399997711182,3100,2009-01-02
PEZ,24.2000007629395,24.4099998474121,23.3786582946777,24.0599994659424,24.4099998474121,5800,2011-08-15
PEZ,35.5099983215332,35.0299987792969,34.1108016967773,35.0200004577637,35.5099983215332,5400,2013-06-05
